email,label
Chúc mừng!Bạn đã được chọn để phỏng vấn xin việc.Nhấn vào đây để lên lịch phỏng vấn của bạn.,spam
Tài khoản của bạn đã bị đình chỉ do hoạt động đáng ngờ.Nhấn vào đây để mở khóa tài khoản của bạn.,spam
Hãy sẵn sàng cho việc bán flash của chúng tôi!Cung cấp thời gian giới hạn trên các sản phẩm yêu thích của bạn.,ham
Cảm ơn bạn đã phản hồi của bạn.Chúng tôi luôn cố gắng cải thiện dịch vụ của mình.,ham
Tài khoản PayPal của bạn đã bị đình chỉ.Nhấn vào đây để khôi phục quyền truy cập tài khoản của bạn.,spam
Bạn đã giành được một chiếc xe sang trọng!Nhấn vào đây để nhận giải thưởng của bạn.,spam
Chúng tôi đã mở rộng bán hàng của chúng tôi thêm một ngày nữa!Đừng bỏ lỡ cơ hội của bạn để cứu lớn.,ham
Tài khoản của bạn đã được gắn cờ cho hoạt động đáng ngờ.Nhấn vào đây để xác minh danh tính của bạn.,spam
Chúng tôi xin lỗi vì sự bất tiện này.Trang web của chúng tôi sẽ trở lại trực tuyến trong thời gian ngắn.,ham
Cảm ơn bạn đã mua hàng gần đây của bạn.Đây là một ưu đãi đặc biệt cho bạn.,ham
Nhận tiền mặt ngay lập tức ngay bây giờ!Nhấn vào đây để truy cập dịch vụ cho vay nhanh của chúng tôi.,spam
Chúng tôi ở đây để giúp bạn với bất kỳ câu hỏi hoặc mối quan tâm nào bạn có thể có.,ham
Tài khoản của bạn đã bị cấm.Nhấn vào đây để kháng cáo lệnh cấm.,spam
Chúc mừng!Bạn đã giành được một kỳ nghỉ miễn phí đến một thiên đường nhiệt đới!Yêu cầu ngay bây giờ!,spam
Tài khoản của bạn đã được phê duyệt trước cho thẻ tín dụng.Nhấn vào đây để đăng ký ngay!,spam
Chúng tôi rất tiếc khi thấy bạn đi.Hãy cho chúng tôi biết nếu có bất cứ điều gì chúng ta có thể làm để cải thiện.,ham
Bạn đã được chọn để dùng thử miễn phí thành viên cao cấp của chúng tôi.Nhấn vào đây để đăng ký!,spam
Bạn đã được chọn để dùng thử miễn phí dịch vụ cao cấp của chúng tôi.Nhấn vào đây để kích hoạt ngay bây giờ!,spam
Chúng tôi cam kết bền vững.Tìm hiểu thêm về các sáng kiến ​​thân thiện với môi trường của chúng tôi.,ham
Chúng tôi đang tuyển dụng!Kiểm tra trang nghề nghiệp của chúng tôi cho các cơ hội việc làm hiện tại.,ham
Chúng tôi xin lỗi vì sự bất tiện này.Trang web của chúng tôi sẽ được bảo trì tối nay.,ham
Tài khoản của bạn đã được ghi có vào điểm thưởng.Sử dụng chúng để mở khóa phần thưởng độc quyền!,ham
Chúng tôi đánh giá cao doanh nghiệp của bạn.Đây là một dấu hiệu của sự đánh giá cao của chúng tôi.,ham
Chúng tôi coi trọng phản hồi của bạn.Chia sẻ suy nghĩ của bạn với chúng tôi.,ham
Cảm ơn bạn vì lòng trung thành của bạn.Đây là một mã giảm giá đặc biệt như là một mã thông báo của sự đánh giá cao của chúng tôi.,ham
Cảm ơn bạn đã mua hàng của bạn.Đơn hàng của bạn sẽ được giao trong vài ngày tới.,ham
Tài khoản của bạn đã bị hack.Nhấn vào đây để đặt lại mật khẩu của bạn.,spam
Hãy sẵn sàng cho việc bán hàng hàng năm của chúng tôi!Tiết kiệm lớn đang chờ bạn.,ham
Bạn đã được chọn cho iPhone X. Nhấp vào đây để nhận giải thưởng của bạn!,spam
Chúc mừng!Bạn đã giành được một chuyến đi miễn phí đến Châu Âu.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Điều này là để thông báo cho bạn về sự thay đổi lịch trình cho cuộc họp ngày mai.Xin lưu ý.,ham
Bạn đã được chọn cho một giải thưởng đặc biệt.Nhấn vào đây để nhận phần thưởng của bạn!,spam
Bạn đã được chọn để dùng thử miễn phí dịch vụ cao cấp của chúng tôi.Nhấn vào đây để kích hoạt ngay bây giờ!,spam
Bạn đã được chọn để dùng thử miễn phí dịch vụ cao cấp của chúng tôi.Nhấn vào đây để kích hoạt ngay bây giờ!,spam
Nâng cấp lên thành viên cao cấp của chúng tôi cho các lợi ích độc quyền và các khuyến nghị được cá nhân hóa.,ham
Bạn đã giành được một chiếc xe sang trọng!Nhấn vào đây để nhận giải thưởng của bạn.,spam
Chúng tôi đã cập nhật ứng dụng của chúng tôi với các tính năng mới.Cập nhật ngay bây giờ để có trải nghiệm người dùng nâng cao.,ham
Ý kiến ​​của bạn quan trọng!Lấy khảo sát của chúng tôi và có cơ hội giành được giải thưởng thú vị.,ham
Nhận tiền mặt ngay lập tức ngay bây giờ!Nhấn vào đây để truy cập dịch vụ cho vay nhanh của chúng tôi.,spam
Chúng tôi vui mừng thông báo phát hành sản phẩm mới nhất của chúng tôi.Kiểm tra nó ra!,ham
Máy tính của bạn đã bị nhiễm vi -rút.Nhấn vào đây để tải xuống phần mềm chống vi -rút của chúng tôi.,spam
Tài khoản của bạn đã được phê duyệt trước cho thẻ tín dụng.Nhấn vào đây để đăng ký ngay!,spam
Gia hạn đăng ký của bạn là do.Đừng quên cập nhật thông tin thanh toán của bạn.,ham
Làm giàu nhanh chóng!Bấm vào đây để tham gia chương trình đầu tư độc quyền của chúng tôi.,spam
Đừng bỏ lỡ lời đề nghị giới hạn thời gian của chúng tôi.Mua sắm ngay bây giờ và tiết kiệm.,ham
Chúng tôi coi trọng sự riêng tư của bạn.Xem lại chính sách bảo mật cập nhật của chúng tôi để biết thêm thông tin.,ham
Bạn đã được chọn cho iPhone X. Nhấp vào đây để nhận giải thưởng của bạn!,spam
Tài khoản của bạn đã bị xâm phạm.Nhấn vào đây để bảo đảm tài khoản của bạn.,spam
Chúc mừng!Bạn là người chiến thắng may mắn trong ngày.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Chúng tôi sẽ tổ chức một hội thảo trên web vào tuần tới.Đăng ký ngay để đảm bảo vị trí của bạn!,ham
Đơn hàng của bạn đã được xử lý thành công.Nó sẽ được vận chuyển ngày hôm nay.,ham
Chúng tôi đang trải qua khối lượng cuộc gọi cao.Bạn có thể liên hệ với chúng tôi nhanh hơn bằng cách sử dụng trò chuyện trực tuyến của chúng tôi.,ham
Đăng ký Netflix của bạn đã hết hạn.Bấm vào đây để gia hạn ngay bây giờ!,spam
Chào buổi sáng!Đính kèm là báo cáo bạn yêu cầu.Chúc một ngày tuyệt vời!,ham
Cảm ơn bạn đã tham dự hội thảo của chúng tôi.Dưới đây là các slide trình bày cho tài liệu tham khảo của bạn.,ham
Chúng tôi rất vui mừng được chia sẻ các bản cập nhật sản phẩm mới nhất của chúng tôi với bạn.Kiểm tra chúng ngay bây giờ!,ham
Hành động nhanh chóng!Ưu đãi thời gian giới hạn trên túi xách thiết kế.Nhấn vào đây để mua sắm ngay bây giờ!,spam
Yêu cầu giải thưởng của bạn ngay bây giờ!Nhấn vào đây để xác nhận tiền thắng của bạn.,spam
Chỉ cần một lời nhắc nhở thân thiện để gia hạn đăng ký của bạn trước khi nó hết hạn.,ham
Hành động ngay bây giờ!Ưu đãi thời gian giới hạn trên đồng hồ xa xỉ.Bấm vào đây để mua ngay!,spam
Chúc mừng!Bạn là người chiến thắng may mắn trong Giveaway Holiday của chúng tôi.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Cảm ơn bạn đã yêu cầu của bạn.Chúng tôi đánh giá cao sự quan tâm của bạn đối với các sản phẩm của chúng tôi.,ham
Làm giàu qua đêm!Nhấn vào đây để tìm hiểu phương pháp kiếm tiền bí mật của chúng tôi.,spam
Sự hài lòng của bạn là ưu tiên của chúng tôi.Hãy cho chúng tôi biết làm thế nào chúng tôi có thể phục vụ bạn tốt hơn.,ham
Cảm ơn bạn vì sự kiên nhẫn của bạn.Đội ngũ kỹ thuật của chúng tôi đã giải quyết vấn đề.Duyệt hạnh phúc!,ham
"Kính gửi [Tên], đăng ký tài khoản của bạn đã hết hạn.Gia hạn ngay bây giờ để tiếp tục tận hưởng các dịch vụ của chúng tôi.",ham
Khẩn cấp: Tài khoản của bạn đã bị xâm phạm.Nhấn vào đây để đặt lại mật khẩu của bạn ngay lập tức.,spam
Tư cách thành viên hàng năm của bạn đã được gia hạn.Tận hưởng một năm khác của lợi ích độc quyền.,ham
Chúng tôi rất vui mừng được chia sẻ bài đăng trên blog mới nhất của chúng tôi với bạn.Kiểm tra nó để biết những hiểu biết có giá trị.,ham
Tài khoản của bạn đã bị cấm.Nhấn vào đây để kháng cáo lệnh cấm.,spam
Bạn đã giành được một hành trình sang trọng!Nhấn vào đây để yêu cầu vé của bạn.,spam
Chúng tôi đã phát hiện hoạt động bất thường trên tài khoản của bạn.Bảo mật nó bằng cách thay đổi mật khẩu của bạn.,ham
Gói của bạn đã ra ngoài để giao hàng.Theo dõi lô hàng của bạn bằng cách sử dụng liên kết được cung cấp.,ham
Bạn đã giành được một cuộc mua sắm!Nhấn vào đây để yêu cầu chứng từ của bạn.,spam
Tài khoản của bạn đã được nâng cấp lên trạng thái VIP.Tận hưởng lợi ích và đặc quyền nâng cao.,ham
Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.Đây là một ưu đãi đặc biệt chỉ dành cho bạn!,ham
Nhóm của chúng tôi ở đây để giúp bạn.Liên hệ với chúng tôi bất cứ lúc nào để được hỗ trợ.,ham
Giữ kết nối với chúng tôi!Thực hiện theo các kênh truyền thông xã hội của chúng tôi để cập nhật mới nhất.,ham
Tài khoản của bạn đã bị hack.Nhấn vào đây để đặt lại mật khẩu của bạn.,spam
Luôn thông báo với các bài viết blog mới nhất của chúng tôi.Đăng ký nhận bản tin của chúng tôi ngày hôm nay.,ham
Tài khoản của bạn đã được ghi có vào điểm thưởng.Nhấn vào đây để đổi phần thưởng của bạn.,spam
Chúc mừng!Bạn là người chiến thắng trong quà tặng hàng ngày của chúng tôi.Nhấn vào đây để nhận phần thưởng của bạn!,spam
Tài khoản PayPal của bạn đã bị khóa.Nhấn vào đây để khôi phục quyền truy cập tài khoản của bạn.,spam
Thời gian dùng thử của bạn đã kết thúc.Nâng cấp lên một kế hoạch cao cấp để truy cập không giới hạn.,ham
Giữ kết nối với các bản cập nhật mới nhất của chúng tôi.Theo dõi chúng tôi trên phương tiện truyền thông xã hội.,ham
Chúc mừng!Bạn đã được chọn để dùng thử miễn phí phần mềm cao cấp của chúng tôi.Bấm vào đây để tải xuống ngay!,spam
Chúc mừng!Bạn đã được chọn để dùng thử miễn phí phần mềm cao cấp của chúng tôi.Bấm vào đây để tải xuống ngay!,spam
Đơn hàng của bạn được xác nhận.Bạn sẽ nhận được một email xác nhận trong thời gian ngắn với các chi tiết.,ham
Chúng tôi cam kết cung cấp dịch vụ tuyệt vời.Phản hồi của bạn giúp chúng tôi cải thiện.,ham
"Kính gửi [Tên], tài khoản của bạn đã được nâng cấp lên trạng thái cao cấp.Thưởng thức các đặc quyền!",ham
Phản hồi của bạn quan trọng với chúng tôi.Lấy khảo sát của chúng tôi và giúp chúng tôi phục vụ bạn tốt hơn.,ham
Chúc mừng!Bạn là người chiến thắng trong quà tặng hàng ngày của chúng tôi.Nhấn vào đây để nhận phần thưởng của bạn!,spam
Yêu cầu giải thưởng của bạn ngay bây giờ!Nhấn vào đây để xác nhận tiền thắng của bạn.,spam
Ở trong vòng lặp với bản tin của chúng tôi.Đăng ký ngay bây giờ để biết tin tức và cập nhật mới nhất.,ham
Bạn đã được chọn để dùng thử miễn phí dịch vụ cao cấp của chúng tôi.Nhấn vào đây để kích hoạt ngay bây giờ!,spam
Nhận quyền truy cập độc quyền vào Câu lạc bộ VIP của chúng tôi.Bấm vào đây để tham gia ngay bây giờ!,spam
Bạn là người chiến thắng may mắn của chúng tôi!Nhấn vào đây để nhận giải thưởng giải độc đắc của bạn.,spam
Tài khoản ngân hàng của bạn đã bị đình chỉ.Nhấn vào đây để xác minh chi tiết tài khoản của bạn.,spam
Chúng tôi ở đây để giúp đỡ!Liên hệ với nhóm hỗ trợ khách hàng của chúng tôi để được hỗ trợ.,ham
Chúng tôi rất vui mừng được thông báo ra mắt sản phẩm mới của chúng tôi.Kiểm tra nó trên trang web của chúng tôi!,ham
Mở khóa giảm giá độc quyền!Nhấn vào đây để tham gia chương trình khách hàng thân thiết của chúng tôi.,spam
"Kính gửi khách hàng có giá trị, đây là mã giảm giá đặc biệt cho lần mua tiếp theo của bạn: XYZ123.",ham
Làm giàu qua đêm!Nhấn vào đây để tìm hiểu phương pháp kiếm tiền bí mật của chúng tôi.,spam
Chúng tôi rất vui mừng được công bố quan hệ đối tác của chúng tôi với [công ty].Hãy theo dõi sự hợp tác thú vị!,ham
Chúng tôi đã đạt được một cột mốc quan trọng!Cảm ơn bạn đã là một phần của hành trình của chúng tôi.,ham
"Chúng tôi vui mừng thông báo quan hệ đối tác của chúng tôi với [công ty].Cùng nhau, chúng ta sẽ đạt được những điều tuyệt vời!",ham
Chúng tôi đang lưu trữ một tặng trên các kênh truyền thông xã hội của chúng tôi.Theo dõi chúng tôi để có cơ hội giành chiến thắng!,ham
Chúng tôi đã ra mắt một tính năng mới dựa trên phản hồi của người dùng.Hãy thử nó và cho chúng tôi biết bạn nghĩ gì!,ham
Chúng tôi đã nâng cấp máy chủ của chúng tôi để thực hiện nhanh hơn.Thưởng thức duyệt web mượt mà hơn!,ham
Xin chúc mừng thành tích gần đây của bạn!Giữ công việc tuyệt vời!,ham
Yêu cầu gia tài của bạn ngay bây giờ!Nhấn vào đây để truy cập vào tiền của bạn.,spam
Chúng tôi cam kết với sự hài lòng của bạn.Hãy cho chúng tôi biết làm thế nào chúng ta có thể cải thiện.,ham
Chúng tôi rất vui mừng được chia sẻ các bản cập nhật mới nhất của chúng tôi với bạn.Hãy theo dõi để biết thêm tin tức!,ham
Chúc mừng!Bạn là người chiến thắng may mắn trong Giveaway Holiday của chúng tôi.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Bạn được mời đến một sự kiện đặc biệt.Nhấn vào đây để RSVP ngay bây giờ!,spam
Cảm ơn bạn vì lòng trung thành của bạn.Đây là một khoản giảm giá đặc biệt để trở thành một khách hàng có giá trị.,ham
Chúng tôi hy vọng bạn đang thích đăng ký của mình.Hãy cho chúng tôi biết nếu bạn có bất kỳ câu hỏi.,ham
"Kính gửi [Tên], số dư tài khoản của bạn hiện được cập nhật.Vui lòng xem lại các chi tiết.",ham
Chúng tôi đang kỷ niệm ngày kỷ niệm của chúng tôi!Tham gia với chúng tôi để có những ưu đãi đặc biệt và quà tặng suốt cả tuần.,ham
Lưu trữ tài khoản email của bạn đã đầy.Nhấn vào đây để nâng cấp tài khoản của bạn.,spam
Bạn được mời đến một sự kiện đặc biệt.Nhấn vào đây để RSVP ngay bây giờ!,spam
Chúng tôi ở đây để hỗ trợ bạn.Liên hệ với nhóm hỗ trợ của chúng tôi nếu bạn cần bất kỳ trợ giúp.,ham
Đừng bỏ lỡ việc bán hàng cuối mùa của chúng tôi!Lấy các mặt hàng yêu thích của bạn với giá chiết khấu.,ham
Tài khoản của bạn đã được ghi có vào điểm thưởng.Nhấn vào đây để đổi phần thưởng của bạn.,spam
Tài khoản Facebook của bạn đã bị hack.Nhấn vào đây để bảo đảm tài khoản của bạn.,spam
Tài khoản của bạn đã được gắn cờ cho hoạt động đáng ngờ.Nhấn vào đây để xác minh danh tính của bạn.,spam
Bạn đã giành được một cuộc mua sắm!Nhấn vào đây để yêu cầu chứng từ của bạn.,spam
Chúng tôi đang mở rộng việc bán hàng của chúng tôi thêm một ngày do nhu cầu phổ biến.Đừng bỏ lỡ!,ham
Chúng tôi sẽ tổ chức một phiên hỏi đáp trực tiếp vào ngày mai.Gửi câu hỏi của bạn trước!,ham
Bạn đã trúng xổ số!Nhấn vào đây để nhận giải thưởng triệu đô của bạn!,spam
Xin chúc mừng về việc mua hàng gần đây của bạn!Đây là một chứng từ cho đơn đặt hàng tiếp theo của bạn.,ham
Làm giàu nhanh chóng!Bấm vào đây để tham gia chương trình đầu tư độc quyền của chúng tôi.,spam
Tài khoản của bạn đã được ghi có điểm thưởng cho giao dịch mua gần đây của bạn.Thưởng thức!,ham
Hãy sẵn sàng cho việc bán hàng hàng năm của chúng tôi!Giảm giá rất lớn trên một loạt các sản phẩm.,ham
Chúng tôi xin lỗi vì sự bất tiện này.Nhóm kỹ thuật của chúng tôi đang làm việc để giải quyết vấn đề.,ham
"Đăng nhập tài khoản của bạn đã thành công.Nếu đây không phải là bạn, xin vui lòng liên hệ với chúng tôi ngay lập tức.",ham
"Chúng tôi rất vui mừng được công bố sự hợp tác của chúng tôi với [Tổ chức].Cùng nhau, chúng ta sẽ tạo ra sự khác biệt!",ham
Tài khoản của bạn đã bị đình chỉ do hoạt động đáng ngờ.Nhấn vào đây để mở khóa tài khoản của bạn.,spam
Đăng ký Netflix của bạn đã hết hạn.Bấm vào đây để gia hạn ngay bây giờ!,spam
Chúng tôi đang gặp khó khăn về kỹ thuật.Nhóm của chúng tôi đang làm việc để giải quyết vấn đề càng sớm càng tốt.,ham
Hành động nhanh chóng!Ưu đãi thời gian giới hạn trên túi xách thiết kế.Nhấn vào đây để mua sắm ngay bây giờ!,spam
Bạn đã giành được một hành trình sang trọng!Nhấn vào đây để yêu cầu vé của bạn.,spam
Xin chào!Chỉ muốn nhắc nhở bạn về sự kiện sắp tới của chúng tôi.Đừng bỏ lỡ nó!,ham
Mật khẩu tài khoản của bạn đã được đặt lại thành công.Vui lòng đăng nhập bằng mật khẩu mới.,ham
Bạn đã giành được một cuộc mua sắm!Nhấn vào đây để yêu cầu chứng từ của bạn.,spam
Mở khóa giảm giá độc quyền!Nhấn vào đây để tham gia chương trình khách hàng thân thiết của chúng tôi.,spam
Hành động nhanh chóng!Ưu đãi thời gian giới hạn trên đồng hồ xa xỉ.Bấm vào đây để mua ngay!,spam
Kiếm tiền nhanh chóng!Tham gia chương trình liên kết của chúng tôi và bắt đầu kiếm tiền mặt ngay hôm nay!,spam
Chúc mừng!Bạn đã được chọn cho một ưu đãi đặc biệt.Thưởng thức!,ham
Thẻ tín dụng của bạn đã được tính cho các giao dịch mua trái phép.Nhấn vào đây để tranh chấp các khoản phí.,spam
Xin chúc mừng về việc mua hàng gần đây của bạn!Đây là một ưu đãi đặc biệt cho đơn đặt hàng tiếp theo của bạn.,ham
Tài khoản của bạn đã được ghi có điểm thưởng cho sự hỗ trợ liên tục của bạn.Cảm ơn!,ham
Bạn đã được chọn cho iPhone miễn phí.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Chúc mừng!Bạn đã giành được một chuyến đi miễn phí đến Châu Âu.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Giới thiệu chương trình khách hàng thân thiết của chúng tôi.Kiếm điểm với mỗi lần mua và đổi phần thưởng!,ham
Chúng tôi vui mừng thông báo cho bạn rằng hoàn lại tiền của bạn đã được xử lý thành công.,ham
Làm giàu nhanh chóng!Đầu tư vào kế hoạch mới mang tính cách mạng của chúng tôi và nghỉ hưu sớm!,spam
Thời gian dùng thử miễn phí của bạn sẽ sớm kết thúc.Nâng cấp ngay bây giờ để tiếp tục tận hưởng các dịch vụ của chúng tôi.,ham
Đơn hàng của bạn đang trên đường của nó!Theo dõi lô hàng của bạn để cập nhật thời gian thực.,ham
Ưu đãi giới hạn thời gian!Chỉ nhận 50% cho tất cả các giao dịch mua ngày hôm nay.Đừng bỏ lỡ!,spam
